"prompt","lang","role"
"Can you write a short introduction about the relevance of the term ""monopsony"" in economics? Please use examples related to potential monopsonies in the labour market and cite relevant research.","en","prompter"
"Now explain it to a dog","en","prompter"
"How can one fight back when a monospony had been created?","en","prompter"
"What can be done at a regulatory level to ensure, in a monopsony, that the power over the employees isn't abused? List a few options and focus on the organs that should act.","en","prompter"
"I would imagine this is similar or even the same as a ""monopoly"" but I am not sure.

Assuming that this some kind of ""final state"" of a particular industry or even an entire economy, give me some larger historical examples of this kind of structure consolidating over time, and describe what circumstances are common prerequisite.","en","prompter"
"Can you explain contrastive learning in machine learning in simple terms for someone new to the field of ML?","en","prompter"
"I didn't understand how pulling and pushing works. What are we pulling or pushing? And how does it work in terms of code or maths?","en","prompter"
"Can you tell me more about Euclidean distances?","en","prompter"
"Can you clarify the analogy? I'm not following the notation or vocabulary used in the example.","en","prompter"
"I asked about contrastive learning in machine learning which has nothing to do with Jeff Bezos. Contrastive learning is used to increase the performance of vision-based tasks using contrast. I want you to explain this technique to me in a way that anyone without machine learning knowledge would understand.","en","prompter"
"I want to start doing astrophotography as a hobby, any suggestions what could i do?","en","prompter"
"Can you tell me more?  What would you recommend as a basic set of equipment to get started with?  How much will it cost?","en","prompter"
"What is a good course of instruction to avoid years of wasted effort?","en","prompter"
"Do you have any suggestions for how I might improve my skill in capturing good photos?","en","prompter"
"I think that your reply is humorous/sarcastic, while I wanted a serious one. Please answer once again in a more serious fashion, with actual advice","en","prompter"
"Can you give me an example of a python script that opens an api point and serves a string?","en","prompter"
"What changes would you need to make to the code above to serve a JSON object instead of a string?","en","prompter"
"Instead of returning the request body, could you make it so it encrypts the request body with the caesar cipher and returns the cipher text?","en","prompter"
"Thank you! Instead of getting the string from the insults.io api, could you get them from a jokes api?","en","prompter"
"How can I learn to optimize my webpage for search engines?","en","prompter"
"My webpage is about flower arrangements. Can you give some examples for each of the above?","en","prompter"
"How do I ensure my content doesn't get scraped by AI researchers?","en","prompter"
"Is SEO relevant in 2023?","en","prompter"
"I changed my mind, now I want to make sure my content is properly crawled by the search engines and in AI training datasets. How do I make sure of that?","en","prompter"
"Listened to Dvorak's ""The New World"" symphony, liked it much. What composers, not necessarily from Dvorak's time, wrote similar music? Provide a few suggestions, give composer names and their respective works. Also, what Dvorak's other works sound like the ""New World""?","en","prompter"
